area,cru,type,couleur,age_min,age_max,t_min,t_max,glass_type,comments,color
ALSACE GEWURZTRAMINER,ALSACE GEWURZTRAMINER Grand Cru,sec,blanc,5.0,25.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,blanc
ALSACE PINOT GRIS,ALSACE PINOT GRIS Grand Cru,sec,blanc,4.0,12.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,blanc
ALSACE MUSCAT,ALSACE MUSCAT Grand Cru,sec,blanc,4.0,12.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,blanc
ALSACE RIESLING,ALSACE RIESLING Grand Cru,sec,blanc,5.0,25.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,blanc
ALSACE CHASSELAS OU GUTEDEL,ALSACE CHASSELAS OU GUTEDEL,sec,blanc,1.0,5.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,blanc
ALSACE EDELZWICKER,ALSACE EDELZWICKER,sec,blanc,1.0,5.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,blanc
ALSACE GEWURZTRAMINER,ALSACE GEWURZTRAMINER,sec,blanc,4.0,20.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,blanc
ALSACE KLEVENER-DE-HEILIGENSTEIN,ALSACE KLEVENER-DE-HEILIGENSTEIN,sec,blanc,3.0,5.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,blanc
ALSACE MUSCAT,ALSACE MUSCAT,sec,blanc,2.0,4.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,blanc
ALSACE PINOT BLANC OU KLEVNER,ALSACE PINOT BLANC OU KLEVNER,sec,blanc,2.0,5.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,blanc
ALSACE PINOT GRIS,ALSACE PINOT GRIS,sec,blanc,2.0,6.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,blanc
ALSACE PINOT NOIR,ALSACE PINOT NOIR,sec,rouge,2.0,6.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,rouge
ALSACE RIESLING,ALSACE RIESLING,sec,blanc,4.0,20.0,15.0,0.0,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans,blanc
