Région,Sous-Région,Appellation,Label,Cru,Type,Couleur,Age min,Age max,T°C min,T°max,Type de verre,Commentaires
Alsace,Alsace,ALSACE GEWURZTRAMINER,AOC,ALSACE GEWURZTRAMINER Grand Cru,sec,blanc,5,25,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,ALSACE PINOT GRIS,AOC,ALSACE PINOT GRIS Grand Cru,sec,blanc,4,12,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,ALSACE MUSCAT,AOC,ALSACE MUSCAT Grand Cru,sec,blanc,4,12,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,ALSACE RIESLING,AOC,ALSACE RIESLING Grand Cru,sec,blanc,5,25,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,ALSACE CHASSELAS OU GUTEDEL,AOC,ALSACE CHASSELAS OU GUTEDEL,sec,blanc,1,5,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,ALSACE EDELZWICKER,AOC,ALSACE EDELZWICKER,sec,blanc,1,5,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,ALSACE GEWURZTRAMINER,AOC,ALSACE GEWURZTRAMINER,sec,blanc,4,20,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,ALSACE KLEVENER-DE-HEILIGENSTEIN,AOC,ALSACE KLEVENER-DE-HEILIGENSTEIN,sec,blanc,3,5,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,ALSACE MUSCAT,AOC,ALSACE MUSCAT,sec,blanc,2,4,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,ALSACE PINOT BLANC OU KLEVNER,AOC,ALSACE PINOT BLANC OU KLEVNER,sec,blanc,2,5,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,ALSACE PINOT GRIS,AOC,ALSACE PINOT GRIS,sec,blanc,2,6,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,ALSACE PINOT NOIR,AOC,ALSACE PINOT NOIR,sec,rouge,2,6,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,ALSACE RIESLING,AOC,ALSACE RIESLING,sec,blanc,4,20,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,ALSACE SYLVANER,AOC,ALSACE SYLVANER,sec,blanc,2,5,15,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
Alsace,Alsace,Alsace,AOC,Alsace,Doux,blanc,5,30,8,12,Bordelais ; INAO,
Alsace,Alsace,Alsace,AOC,Alsace Grand Cru ,doux,blanc,10,50,11,13,Bordelais ; INAO,Les Grands Crus peuvent être servis à 14°C
Alsace,Alsace,Alsace,AOC,CRÉMANT-D'ALSACE,Effervescent,blanc,1,4,5,7,Champagne,
Alsace,Alsace,Alsace,AOC,CRÉMANT-D'ALSACE,Effervescent,pink,1,4,6,8,Vin Blanc; Champagne,
Beaujolais,Beaujolais,Beaujolais,AOC,Beaujolais,sec,Blanc,2,5,10,12,Bordelais ; INAO,
Beaujolais,Beaujolais,Beaujolais,AOC,Beaujolais,sec,pink,2,4,8,11,Bourgogne,
Beaujolais,Beaujolais,Beaujolais,AOC,Beaujolais,sec,rouge,3,8,14,16,Bourgogne,
Beaujolais,Beaujolais,Beaujolais,AOC,Beaujolais-villages,sec,Blanc,2,5,10,12,Bordelais ; INAO,
Beaujolais,Beaujolais,Beaujolais,AOC,Beaujolais-villages,sec,pink,2,4,8,11,Bourgogne,
Beaujolais,Beaujolais,Beaujolais,AOC,Beaujolais-villages,sec,rouge,3,8,14,16,Bourgogne,
Beaujolais,Beaujolais,Beaujolais,AOC,Beaujolais supérieur,sec,rouge,3,8,14,16,Bourgogne,
Beaujolais,Beaujolais,Beaujolais,IGP,Comtés Rhodaniens,sec,rouge,2,5,16,,,
Beaujolais,Beaujolais,Beaujolais,IGP,Comtés Rhodaniens,sec,pink,1,3,8,,,
Beaujolais,Beaujolais,Beaujolais,IGP,Comtés Rhodaniens,sec,blanc,2,4,8,,,
Beaujolais,Beaujolais,Beaujolais,IGP,Saône-et-Loire,sec,rouge,3,5,14,15,,
Beaujolais,Beaujolais,Beaujolais,IGP,Saône-et-Loire,sec,pink,1,3,8,11,,
Beaujolais,Beaujolais,Beaujolais,IGP,Saône-et-Loire,sec,blanc,2,5,10,13,,
Beaujolais,Cru du Beaujolais,Brouilly,AOC,Brouilly,sec,rouge,2,6,12,13,Bourgogne,
Beaujolais,Cru du Beaujolais,Chénas,AOC,Chénas,sec,rouge,4,10,16,16,,
Beaujolais,Cru du Beaujolais,Chiroubles,AOC,Chiroubles,sec,rouge,1,4,12,13,,
Beaujolais,Cru du Beaujolais,CÔTE-DE-BROUILLY,AOC,CÔTE-DE-BROUILLY,sec,rouge,4,8,15,15,,
Beaujolais,Cru du Beaujolais,Fleurie,AOC,Fleurie,sec,rouge,1,4,14,14,,
Beaujolais,Cru du Beaujolais,Juliénas,AOC,Juliénas,sec,rouge,4,10,14,15,,
Beaujolais,Cru du Beaujolais,Morgon,AOC,Morgon,sec,rouge,4,12,16,16,,
Beaujolais,Cru du Beaujolais,Moulin-à-Vent,AOC,Moulin-à-Vent,sec,rouge,5,12,16,16,,
Beaujolais,Cru du Beaujolais,Régnié,AOC,Régnié,sec,rouge,3,8,14,16,,
Beaujolais,Cru du Beaujolais,Saint-Amour,AOC,Saint-Amour,sec,rouge,2,6,15,15,,
Beaujolais / Bourgogne,Beaujolais / Bourgogne,Vins de pays/IGP Saône-et-Loire,IGP,Vins de pays/IGP Saône-et-Loire,sec,rouge,3,5,14,15,,
Beaujolais / Bourgogne,Beaujolais / Bourgogne,Vins de pays/IGP Saône-et-Loire,IGP,Vins de pays/IGP Saône-et-Loire,sec,blanc,1,3,8,11,,
Beaujolais / Bourgogne,Beaujolais / Bourgogne,Vins de pays/IGP Saône-et-Loire,IGP,Vins de pays/IGP Saône-et-Loire,sec,pink,2,4,10,13,,
Bordeaux,Blayais-Bourgeais,Blaye,AOC,Blaye,sec,rouge,5,10,15,15,Bordelais,
Bordeaux,Blayais-Bourgeais,Blaye,AOC,CÔTES-DE-BLAYE,sec,blanc,3,5,8,11,,
Bordeaux,Blayais-Bourgeais,Blaye,AOC,Blaye-Côtes-de-Bordeaux,sec,rouge,5,10,15,15,,
