,Région,Sous-Région,Appellation,Label,Cru,Type,Couleur,Age min,Age max,T°C min,T°max,Type de verre,Commentaires
0,Alsace,Alsace,Alsace,AOC,Alsace,sec,rouge,3.0,5.0,15.0,,Bordelais ; Alsacien,Les meilleurs jusqu'à 10 ans
1,Alsace,Alsace,Alsace,AOC,Alsace,sec,rosé,1.0,3.0,10.0,,Bordelais ; Alsacien,
2,Alsace,Alsace,Alsace,AOC,Alsace,sec,blanc,3.0,5.0,10.0,12.0,Bordelais ; Alsacien,
3,Alsace,Alsace,Alsace,AOC,Alsace,Doux,blanc,5.0,30.0,8.0,12.0,Bordelais ; INAO,
4,Alsace,Alsace,Alsace,AOC,Alsace Grand Cru ,sec,blanc,5.0,15.0,12.0,,Bordelais ; Alsacien,Ils peuvent vieillir jusqu'à 25 ans
5,Alsace,Alsace,Alsace,AOC,Alsace Grand Cru ,doux,blanc,10.0,50.0,11.0,13.0,Bordelais ; INAO,Les Grands Crus peuvent être servis à 14°C
6,Alsace,Alsace,Alsace,AOC,Crémant d'Alsace,Effervescent,blanc,3.0,5.0,8.0,10.0,Champagne,
7,Alsace,Alsace,Alsace,AOC,Crémant d'Alsace,Effervescent,Blanc,3.0,,9.0,11.0,Vin Blanc; Champagne,
8,Beaujolais,Beaujolais,Beaujolais,AOC,Beaujolais,sec,Blanc,2.0,5.0,10.0,12.0,Bordelais ; INAO,
9,Beaujolais,Beaujolais,Beaujolais,AOC,Beaujolais,sec,rosé,2.0,4.0,8.0,11.0,Bourgogne,
10,Beaujolais,Beaujolais,Beaujolais,AOC,Beaujolais,sec,rouge,3.0,8.0,14.0,16.0,Bourgogne,
11,Beaujolais,Beaujolais,Beaujolais,AOC,Beaujolais supérieur,sec,rouge,3.0,8.0,14.0,16.0,Bourgogne,
12,Beaujolais,Beaujolais,Beaujolais,IGP,Comtés Rhodaniens,sec,rouge,2.0,5.0,16.0,,,
13,Beaujolais,Beaujolais,Beaujolais,IGP,Comtés Rhodaniens,sec,rosé,1.0,3.0,8.0,,,
14,Beaujolais,Beaujolais,Beaujolais,IGP,Comtés Rhodaniens,sec,blanc,2.0,4.0,8.0,,,
15,Beaujolais,Beaujolais,Beaujolais,IGP,Saône-et-Loire,sec,rouge,3.0,5.0,14.0,15.0,,
16,Beaujolais,Beaujolais,Beaujolais,IGP,Saône-et-Loire,sec,rosé,1.0,3.0,8.0,11.0,,
17,Beaujolais,Beaujolais,Beaujolais,IGP,Saône-et-Loire,sec,blanc,2.0,5.0,10.0,13.0,,
18,Beaujolais,Cru du Beaujolais,Brouilly,AOC,Brouilly,sec,rouge,2.0,6.0,12.0,13.0,Bourgogne,
19,Beaujolais,Cru du Beaujolais,Chénas,AOC,Chénas,sec,rouge,4.0,10.0,16.0,16.0,,
20,Beaujolais,Cru du Beaujolais,Chiroubles,AOC,Chiroubles,sec,rouge,1.0,4.0,12.0,13.0,,
21,Beaujolais,Cru du Beaujolais,Côte de Brouilly,AOC,Côte de Brouilly,sec,rouge,4.0,8.0,15.0,15.0,,
22,Beaujolais,Cru du Beaujolais,Fleurie,AOC,Fleurie,sec,rouge,1.0,4.0,14.0,14.0,,
23,Beaujolais,Cru du Beaujolais,Juliénas,AOC,Juliénas,sec,rouge,4.0,10.0,14.0,15.0,,
24,Beaujolais,Cru du Beaujolais,Morgon,AOC,Morgon,sec,rouge,4.0,12.0,16.0,16.0,,
25,Beaujolais,Cru du Beaujolais,Moulin-à-Vent,AOC,Moulin-à-Vent,sec,rouge,5.0,12.0,16.0,16.0,,
26,Beaujolais,Cru du Beaujolais,Régnié,AOC,Régnié,sec,rouge,3.0,8.0,14.0,16.0,,
27,Beaujolais,Cru du Beaujolais,Saint-Amour,AOC,Saint-Amour,sec,rouge,2.0,6.0,15.0,15.0,,
28,Beaujolais / Bourgogne,Beaujolais / Bourgogne,Vins de pays/IGP Saône-et-Loire,IGP,Vins de pays/IGP Saône-et-Loire,sec,rouge,3.0,5.0,14.0,15.0,,
29,Beaujolais / Bourgogne,Beaujolais / Bourgogne,Vins de pays/IGP Saône-et-Loire,IGP,Vins de pays/IGP Saône-et-Loire,sec,blanc,1.0,3.0,8.0,11.0,,
