area,cru,age_min,age_max,t_min,t_max,glass_type,comments,color
5.0,0.0,rouge,,,,,,
3.0,0.0,rosé,,,,,,
5.0,12.0,blanc,,,,,,
30.0,12.0,jaune,,,,,,
15.0,0.0,blanc,,,,,,
50.0,13.0,jaune,,,,,,
5.0,10.0,blanc,,,,,,
0.0,11.0,blanc,,,,,,
5.0,12.0,blanc,,,,,,
4.0,11.0,rosé,,,,,,
8.0,16.0,rouge,,,,,,
8.0,16.0,rouge,,,,,,
5.0,0.0,rouge,,,,,,
3.0,0.0,rosé,,,,,,
4.0,0.0,blanc,,,,,,
5.0,15.0,rouge,,,,,,
3.0,11.0,rosé,,,,,,
5.0,13.0,blanc,,,,,,
6.0,13.0,rouge,,,,,,
10.0,16.0,rouge,,,,,,
4.0,13.0,rouge,,,,,,
8.0,15.0,rouge,,,,,,
4.0,14.0,rouge,,,,,,
10.0,15.0,rouge,,,,,,
12.0,16.0,rouge,,,,,,
12.0,16.0,rouge,,,,,,
8.0,16.0,rouge,,,,,,
6.0,15.0,rouge,,,,,,
5.0,15.0,rouge,,,,,,
3.0,11.0,blanc,,,,,,
4.0,13.0,rosé,,,,,,
10.0,15.0,rouge,,,,,,
5.0,11.0,blanc,,,,,,
10.0,15.0,rouge,,,,,,
5.0,11.0,blanc,,,,,,
20.0,16.0,rouge,,,,,,
10.0,12.0,blanc,,,,,,
10.0,0.0,rouge,,,,,,
3.0,11.0,rosé,,,,,,
5.0,11.0,blanc,,,,,,
5.0,16.0,rouge,,,,,,
3.0,11.0,blanc,,,,,,
15.0,13.0,blanc,,,,,,
15.0,11.0,blanc,,,,,,
20.0,12.0,blanc,,,,,,
7.0,13.0,blanc,,,,,,
15.0,15.0,rouge,,,,,,
15.0,15.0,rouge,,,,,,
30.0,13.0,jaune,,,,,,
10.0,15.0,rouge,,,,,,
5.0,11.0,blanc,,,,,,
15.0,13.0,blanc,,,,,,
30.0,12.0,jaune,,,,,,
5.0,11.0,blanc,,,,,,
7.0,11.0,blanc,,,,,,
5.0,16.0,rouge,,,,,,
3.0,10.0,blanc,,,,,,
10.0,12.0,jaune,,,,,,
20.0,11.0,jaune,,,,,,
15.0,11.0,blanc,,,,,,
30.0,11.0,jaune,,,,,,
10.0,18.0,rouge,,,,,,
5.0,12.0,blanc,,,,,,
10.0,11.0,blanc,,,,,,
15.0,10.0,jaune,,,,,,
20.0,10.0,jaune,,,,,,
10.0,0.0,rouge,,,,,,
8.0,12.0,blanc,,,,,,
10.0,12.0,jaune,,,,,,
35.0,16.0,rouge,,,,,,
20.0,12.0,blanc,,,,,,
15.0,0.0,rouge,,,,,,
5.0,0.0,rouge,,,,,,
12.0,0.0,rouge,,,,,,
8.0,12.0,blanc,,,,,,
50.0,13.0,jaune,,,,,,
20.0,0.0,rouge,,,,,,
20.0,18.0,rouge,,,,,,
10.0,18.0,rouge,,,,,,
15.0,18.0,rouge,,,,,,
25.0,18.0,rouge,,,,,,
8.0,18.0,rouge,,,,,,
8.0,18.0,rouge,,,,,,
35.0,16.0,rouge,,,,,,
25.0,16.0,rouge,,,,,,
10.0,18.0,rouge,,,,,,
10.0,16.0,rouge,,,,,,
10.0,18.0,rouge,,,,,,
35.0,16.0,rouge,,,,,,
8.0,18.0,rouge,,,,,,
15.0,18.0,rouge,,,,,,
35.0,16.0,rouge,,,,,,
35.0,18.0,rouge,,,,,,
35.0,17.0,rouge,,,,,,
50.0,13.0,jaune,,,,,,
50.0,13.0,jaune,,,,,,
6.0,16.0,rouge,,,,,,
8.0,14.0,blanc,,,,,,
3.0,12.0,rosé,,,,,,
2.0,10.0,blanc,,,,,,
5.0,12.0,blanc,,,,,,
2.0,8.0,blanc,,,,,,
5.0,14.0,rouge,,,,,,
5.0,14.0,rouge,,,,,,
5.0,12.0,blanc,,,,,,
3.0,0.0,rosé,,,,,,
5.0,8.0,blanc,,,,,,
3.0,10.0,rosé,,,,,,
5.0,15.0,rouge,,,,,,
6.0,14.0,blanc,,,,,,
2.0,10.0,rosé,,,,,,
4.0,15.0,rouge,,,,,,
4.0,14.0,blanc,,,,,,
2.0,9.0,rosé,,,,,,
5.0,15.0,rouge,,,,,,
4.0,11.0,blanc,,,,,,
3.0,10.0,rosé,,,,,,
4.0,15.0,rouge,,,,,,
3.0,10.0,blanc,,,,,,
2.0,11.0,rosé,,,,,,
10.0,12.0,blanc,,,,,,
15.0,12.0,blanc,,,,,,
15.0,14.0,blanc,,,,,,
10.0,0.0,rouge,,,,,,
2.0,0.0,blanc,,,,,,
6.0,0.0,blanc,,,,,,
5.0,13.0,blanc,,,,,,
10.0,0.0,rouge,,,,,,
15.0,0.0,rouge,,,,,,
5.0,0.0,blanc,,,,,,
8.0,0.0,blanc,,,,,,
7.0,0.0,rouge,,,,,,
15.0,0.0,rouge,,,,,,
6.0,0.0,blanc,,,,,,
10.0,0.0,blanc,,,,,,
4.0,13.0,blanc,,,,,,
6.0,13.0,blanc,,,,,,
7.0,0.0,rouge,,,,,,
8.0,0.0,rouge,,,,,,
6.0,0.0,blanc,,,,,,
8.0,0.0,blanc,,,,,,
10.0,0.0,rouge,,,,,,
20.0,0.0,rouge,,,,,,
7.0,0.0,blanc,,,,,,
15.0,14.0,blanc,,,,,,
10.0,0.0,rouge,,,,,,
20.0,16.0,rouge,,,,,,
7.0,13.0,blanc,,,,,,
10.0,13.0,blanc,,,,,,
30.0,14.0,blanc,,,,,,
15.0,16.0,rouge,,,,,,
15.0,16.0,rouge,,,,,,
8.0,13.0,blanc,,,,,,
15.0,14.0,blanc,,,,,,
30.0,14.0,blanc,,,,,,
6.0,16.0,rouge,,,,,,
8.0,16.0,rouge,,,,,,
25.0,14.0,blanc,,,,,,
10.0,0.0,rouge,,,,,,
15.0,0.0,rouge,,,,,,
10.0,14.0,blanc,,,,,,
15.0,14.0,blanc,,,,,,
20.0,14.0,blanc,,,,,,
10.0,0.0,rouge,,,,,,
8.0,13.0,blanc,,,,,,
30.0,0.0,rouge,,,,,,
