age_min,age_max,true_area_id,t_min,t_max,color,comments,glass_type,type
2.0,10.0,375,10.0,12.0,blanc,,,sec
1.0,3.0,375,10.0,12.0,rosé,,,sec
4.0,16.0,4,15.0,17.0,rouge,,,sec
4.0,12.0,4,10.0,12.0,blanc,,,sec
2.0,6.0,4,10.0,13.0,rosé,,,sec
5.0,30.0,90,10.0,13.0,jaune,,Bordelais ; INAO,doux
3.0,7.0,53,10.0,13.0,blanc,,Bordelais ; INAO,sec
5.0,15.0,53,15.0,15.0,rouge,,Bordelais,sec
1.0,3.0,54,8.0,11.0,rosé,,Bordelais,sec
10.0,50.0,60,10.0,13.0,jaune,,,doux
10.0,50.0,64,10.0,13.0,jaune,,Bordelais ; INAO,doux
5.0,30.0,66,9.0,11.0,jaune,,,doux
5.0,20.0,67,9.0,11.0,jaune,,,doux
3.0,10.0,111,13.0,0.0,blanc,,,sec
1.0,5.0,104,6.0,8.0,blanc,,,effervescent
1.0,3.0,104,8.0,10.0,rosé,,,effervescent
2.0,6.0,105,16.0,0.0,rouge,,,sec
1.0,5.0,105,12.0,14.0,blanc,,,sec
3.0,8.0,106,16.0,0.0,rouge,,,sec
1.0,6.0,106,12.0,14.0,blanc,,,sec
2.0,6.0,76,13.0,15.0,rouge,,,sec
2.0,5.0,76,12.0,14.0,blanc,,,sec
1.0,3.0,76,9.0,11.0,rosé,,,sec
1.0,4.0,81,14.0,16.0,rouge,,,sec
1.0,2.0,81,8.0,10.0,blanc,,,sec
1.0,2.0,81,8.0,10.0,rosé,,,sec
2.0,5.0,77,16.0,16.0,rouge,,,sec
1.0,3.0,77,8.0,10.0,blanc,,,sec
1.0,2.0,77,8.0,10.0,rosé,,,sec
2.0,7.0,22,16.0,0.0,rouge,,,sec
2.0,6.0,22,13.0,0.0,blanc,,,sec
2.0,4.0,78,13.0,15.0,rouge,,,sec
1.0,4.0,78,12.0,14.0,blanc,,,sec
1.0,2.0,78,7.0,9.0,rosé,,,sec
1.0,4.0,23,11.0,13.0,blanc,,,sec
2.0,10.0,24,16.0,0.0,rouge,,,sec
1.0,5.0,24,13.0,0.0,blanc,,,sec
3.0,7.0,25,16.0,0.0,rouge,,,sec
2.0,6.0,25,12.0,0.0,blanc,,,sec
2.0,7.0,26,16.0,0.0,rouge,,,sec
2.0,6.0,26,13.0,0.0,blanc,,,sec
1.0,5.0,27,11.0,13.0,blanc,,,sec
3.0,25.0,14,11.0,13.0,jaune,,,doux
3.0,12.0,16,16.0,16.0,rouge,,,sec
5.0,20.0,17,10.0,12.0,jaune,,,doux
1.0,2.0,18,10.0,12.0,rosé,,,sec
2.0,3.0,18,8.0,10.0,rosé,,,moelleux
3.0,10.0,19,16.0,16.0,rouge,,,sec
2.0,10.0,19,12.0,14.0,blanc,,,sec
1.0,3.0,19,6.0,8.0,blanc,,,effervescent
1.0,2.0,19,6.0,8.0,rosé,,,effervescent
5.0,35.0,13,8.0,10.0,jaune,,,doux
3.0,15.0,7,11.0,13.0,blanc,,,sec
4.0,20.0,8,11.0,13.0,blanc,,,sec
3.0,15.0,9,11.0,13.0,blanc,,,sec
2.0,15.0,10,8.0,10.0,jaune,,,doux
2.0,3.0,12,8.0,11.0,rosé,,,moelleux
2.0,3.0,12,8.0,11.0,rosé,,,doux
2.0,8.0,20,16.0,16.0,rouge,,,sec
1.0,5.0,20,10.0,12.0,blanc,,,sec
1.0,2.0,20,8.0,10.0,rosé,,,sec
3.0,15.0,5,14.0,16.0,rouge,,,sec
2.0,8.0,5,8.0,10.0,blanc,,,sec
1.0,4.0,5,9.0,11.0,rosé,,,sec
3.0,15.0,6,14.0,16.0,rouge,,,sec
