id,area_id,color,vintage,id,name,region_id,id,name
68,62,no color,"{'vintage': '2000', 'rank': 9},{'vintage': '2005', 'rank': 8},{'vintage': '2001', 'rank': 7},{'vintage': '2003', 'rank': 6},{'vintage': '2004', 'rank': 6},{'vintage': '2006', 'rank': 6},{'vintage': '2009', 'rank': 6},{'vintage': '1999', 'rank': 5},{'vintage': '2007', 'rank': 5},{'vintage': '2010', 'rank': 5},{'vintage': '2011', 'rank': 5},{'vintage': '2012', 'rank': 5},{'vintage': '2008', 'rank': 4},{'vintage': '2013', 'rank': 3},{'vintage': '2002', 'rank': 1},",62,Vins de pays/IGP Méditerranée,9,9,Vins de Pays
300,265,rosé,"{'vintage': '1989', 'rank': 9},{'vintage': ' 1990', 'rank': 9},{'vintage': '1988', 'rank': 8},{'vintage': '1996', 'rank': 7},{'vintage': '2005', 'rank': 7},{'vintage': '1983', 'rank': 6},{'vintage': ' 1985', 'rank': 6},{'vintage': ' 1997', 'rank': 6},{'vintage': ' 1998', 'rank': 6},{'vintage': ' 1999', 'rank': 6},{'vintage': '2003', 'rank': 6},{'vintage': '2006', 'rank': 6},{'vintage': '2011', 'rank': 6},{'vintage': '1980', 'rank': 5},{'vintage': '2001', 'rank': 5},{'vintage': '2004', 'rank': 5},{'vintage': '2007', 'rank': 5},{'vintage': '2009', 'rank': 5},{'vintage': '2010', 'rank': 5},{'vintage': '2012', 'rank': 5},{'vintage': '1981', 'rank': 4},{'vintage': ' 1982', 'rank': 4},{'vintage': ' 1994', 'rank': 4},{'vintage': ' 1995', 'rank': 4},{'vintage': '1979', 'rank': 3},{'vintage': ' 1986', 'rank': 3},{'vintage': ' 1992', 'rank': 3},{'vintage': '2000', 'rank': 3},{'vintage': '2008', 'rank': 3},{'vintage': '2013', 'rank': 3},{'vintage': '1987', 'rank': 2},{'vintage': '2002', 'rank': 2},{'vintage': '1984', 'rank': 1},{'vintage': ' 1991', 'rank': 1},{'vintage': ' 1993', 'rank': 1},",265,Vins de pays/IGP Coteaux de l'Ardèche,9,9,Vins de Pays
70,63,no color,"{'vintage': '2011', 'rank': 10},{'vintage': '1988', 'rank': 7},{'vintage': '1985', 'rank': 6},{'vintage': ' 1987', 'rank': 6},{'vintage': ' 1998', 'rank': 6},{'vintage': '2005', 'rank': 6},{'vintage': '1986', 'rank': 5},{'vintage': ' 1989', 'rank': 5},{'vintage': ' 1995', 'rank': 5},{'vintage': '2000', 'rank': 5},{'vintage': '2001', 'rank': 5},{'vintage': '2006', 'rank': 5},{'vintage': '1990', 'rank': 4},{'vintage': ' 1993', 'rank': 4},{'vintage': ' 1999', 'rank': 4},{'vintage': '2003', 'rank': 4},{'vintage': '2007', 'rank': 4},{'vintage': '2010', 'rank': 4},{'vintage': '2012', 'rank': 4},{'vintage': '2013', 'rank': 4},{'vintage': '1984', 'rank': 3},{'vintage': '2002', 'rank': 3},{'vintage': '2004', 'rank': 3},{'vintage': '2008', 'rank': 3},{'vintage': '2009', 'rank': 3},{'vintage': '1992', 'rank': 2},{'vintage': ' 1994', 'rank': 2},{'vintage': ' 1996', 'rank': 2},{'vintage': '1991', 'rank': 1},{'vintage': ' 1997', 'rank': 1},",63,Vins de pays/IGP Argens,9,9,Vins de Pays
67,58,rosé,"{'vintage': '1990', 'rank': 10},{'vintage': '1995', 'rank': 8},{'vintage': ' 1997', 'rank': 8},{'vintage': '2007', 'rank': 8},{'vintage': '1996', 'rank': 7},{'vintage': '2000', 'rank': 7},{'vintage': '2009', 'rank': 7},{'vintage': '1998', 'rank': 6},{'vintage': '2004', 'rank': 6},{'vintage': '2005', 'rank': 6},{'vintage': '2003', 'rank': 5},{'vintage': '2006', 'rank': 5},{'vintage': '2010', 'rank': 5},{'vintage': '2011', 'rank': 4},{'vintage': '1993', 'rank': 3},{'vintage': ' 1999', 'rank': 3},{'vintage': '2001', 'rank': 3},{'vintage': '2008', 'rank': 3},{'vintage': '1991', 'rank': 2},{'vintage': ' 1992', 'rank': 2},{'vintage': ' 1994', 'rank': 2},{'vintage': '2002', 'rank': 2},{'vintage': '2012', 'rank': 2},{'vintage': '2013', 'rank': 2},",58,Crémant-de-bordeaux,17,17,Bordelais
87,76,blanc,"{'vintage': '1989', 'rank': 10},{'vintage': '2005', 'rank': 9},{'vintage': '1996', 'rank': 7},{'vintage': '2002', 'rank': 7},{'vintage': '1988', 'rank': 6},{'vintage': ' 1990', 'rank': 6},{'vintage': '2000', 'rank': 6},{'vintage': '2001', 'rank': 6},{'vintage': '2004', 'rank': 6},{'vintage': '1986', 'rank': 5},{'vintage': ' 1992', 'rank': 5},{'vintage': ' 1994', 'rank': 5},{'vintage': ' 1995', 'rank': 5},{'vintage': ' 1997', 'rank': 5},{'vintage': '2003', 'rank': 5},{'vintage': '2007', 'rank': 5},{'vintage': '1991', 'rank': 4},{'vintage': ' 1993', 'rank': 4},{'vintage': ' 1999', 'rank': 4},{'vintage': '2006', 'rank': 4},{'vintage': '2008', 'rank': 4},{'vintage': '2009', 'rank': 4},{'vintage': '2010', 'rank': 4},{'vintage': '2011', 'rank': 4},{'vintage': '2012', 'rank': 4},{'vintage': '1987', 'rank': 3},{'vintage': '1998', 'rank': 2},{'vintage': '2013', 'rank': 2},",76,Vins de pays/IGP Côtes de la Charité,9,9,Vins de Pays
86,77,rouge,"{'vintage': '1989', 'rank': 10},{'vintage': '2005', 'rank': 8},{'vintage': '1985', 'rank': 7},{'vintage': ' 1995', 'rank': 7},{'vintage': ' 1996', 'rank': 7},{'vintage': '1990', 'rank': 6},{'vintage': ' 1997', 'rank': 6},{'vintage': '2000', 'rank': 6},{'vintage': '2001', 'rank': 6},{'vintage': '2002', 'rank': 6},{'vintage': '1981', 'rank': 5},{'vintage': ' 1988', 'rank': 5},{'vintage': '2004', 'rank': 5},{'vintage': '2010', 'rank': 5},{'vintage': '1982', 'rank': 4},{'vintage': ' 1986', 'rank': 4},{'vintage': ' 1998', 'rank': 4},{'vintage': ' 1999', 'rank': 4},{'vintage': '2009', 'rank': 4},{'vintage': '2011', 'rank': 4},{'vintage': '1979', 'rank': 3},{'vintage': ' 1980', 'rank': 3},{'vintage': ' 1983', 'rank': 3},{'vintage': ' 1987', 'rank': 3},{'vintage': ' 1991', 'rank': 3},{'vintage': ' 1992', 'rank': 3},{'vintage': ' 1993', 'rank': 3},{'vintage': ' 1994', 'rank': 3},{'vintage': '2003', 'rank': 3},{'vintage': '2006', 'rank': 3},{'vintage': '2007', 'rank': 3},{'vintage': '2008', 'rank': 3},{'vintage': '2012', 'rank': 3},{'vintage': '2013', 'rank': 3},{'vintage': '1984', 'rank': 2},",77,Vins de pays/IGP Puy-de-Dôme,9,9,Vins de Pays
301,270,no color,"{'vintage': '2001', 'rank': 9},{'vintage': '2005', 'rank': 9},{'vintage': '2003', 'rank': 7},{'vintage': '1996', 'rank': 6},{'vintage': '2002', 'rank': 5},{'vintage': '2009', 'rank': 5},{'vintage': '1997', 'rank': 4},{'vintage': '2004', 'rank': 4},{'vintage': '2013', 'rank': 4},{'vintage': '1998', 'rank': 3},{'vintage': '2000', 'rank': 3},{'vintage': '2006', 'rank': 3},{'vintage': '2007', 'rank': 3},{'vintage': '2008', 'rank': 3},{'vintage': '2010', 'rank': 3},{'vintage': '2011', 'rank': 3},{'vintage': '2012', 'rank': 3},{'vintage': '1999', 'rank': 1},",270,Vins de pays/IGP Périgord,9,9,Vins de Pays
386,347,rosé,"{'vintage': '1989', 'rank': 10},{'vintage': '1959', 'rank': 9},{'vintage': '1976', 'rank': 8},{'vintage': '1953', 'rank': 7},{'vintage': ' 1995', 'rank': 7},{'vintage': '1952', 'rank': 6},{'vintage': ' 1969', 'rank': 6},{'vintage': ' 1970', 'rank': 6},{'vintage': ' 1978', 'rank': 6},{'vintage': ' 1985', 'rank': 6},{'vintage': ' 1996', 'rank': 6},{'vintage': ' 1997', 'rank': 6},{'vintage': '2000', 'rank': 6},{'vintage': '2001', 'rank': 6},{'vintage': '2005', 'rank': 6},{'vintage': '1949', 'rank': 5},{'vintage': ' 1955', 'rank': 5},{'vintage': ' 1964', 'rank': 5},{'vintage': ' 1971', 'rank': 5},{'vintage': ' 1973', 'rank': 5},{'vintage': ' 1981', 'rank': 5},{'vintage': ' 1986', 'rank': 5},{'vintage': ' 1988', 'rank': 5},{'vintage': ' 1990', 'rank': 5},{'vintage': ' 1999', 'rank': 5},{'vintage': '2002', 'rank': 5},{'vintage': '2003', 'rank': 5},{'vintage': '2004', 'rank': 5},{'vintage': '2010', 'rank': 5},{'vintage': '1961', 'rank': 4},{'vintage': ' 1962', 'rank': 4},{'vintage': ' 1966', 'rank': 4},{'vintage': ' 1975', 'rank': 4},{'vintage': ' 1979', 'rank': 4},{'vintage': ' 1980', 'rank': 4},{'vintage': ' 1983', 'rank': 4},{'vintage': ' 1987', 'rank': 4},{'vintage': ' 1998', 'rank': 4},{'vintage': '2009', 'rank': 4},{'vintage': '1950', 'rank': 3},{'vintage': ' 1956', 'rank': 3},{'vintage': ' 1957', 'rank': 3},{'vintage': ' 1958', 'rank': 3},{'vintage': ' 1967', 'rank': 3},{'vintage': ' 1974', 'rank': 3},{'vintage': ' 1982', 'rank': 3},{'vintage': ' 1992', 'rank': 3},{'vintage': ' 1993', 'rank': 3},{'vintage': ' 1994', 'rank': 3},{'vintage': '2006', 'rank': 3},{'vintage': '2007', 'rank': 3},{'vintage': '2008', 'rank': 3},{'vintage': '2011', 'rank': 3},{'vintage': '2012', 'rank': 3},{'vintage': '1948', 'rank': 2},{'vintage': ' 1954', 'rank': 2},{'vintage': ' 1960', 'rank': 2},{'vintage': ' 1963', 'rank': 2},{'vintage': ' 1977', 'rank': 2},{'vintage': ' 1984', 'rank': 2},{'vintage': ' 1991', 'rank': 2},{'vintage': '2013', 'rank': 2},{'vintage': '1951', 'rank': 1},{'vintage': ' 1965', 'rank': 1},{'vintage': ' 1968', 'rank': 1},{'vintage': ' 1972', 'rank': 1},",347,Coteaux-du-loir,4,4,Vallée de la Loire et Centre
377,345,no color,"{'vintage': '2000', 'rank': 8},{'vintage': '2004', 'rank': 6},{'vintage': '2011', 'rank': 6},{'vintage': '1999', 'rank': 5},",345,Coteaux-du-quercy,7,7,Sud-Ouest
2,4,no color,"{'vintage': '1998', 'rank': 7},{'vintage': '1989', 'rank': 6},{'vintage': '2006', 'rank': 6},{'vintage': '2007', 'rank': 6},{'vintage': '1983', 'rank': 5},{'vintage': ' 1985', 'rank': 5},{'vintage': ' 1988', 'rank': 5},{'vintage': '2001', 'rank': 5},{'vintage': '2009', 'rank': 5},{'vintage': '2010', 'rank': 5},{'vintage': '1982', 'rank': 4},{'vintage': ' 1984', 'rank': 4},{'vintage': ' 1986', 'rank': 4},{'vintage': ' 1990', 'rank': 4},{'vintage': ' 1995', 'rank': 4},{'vintage': ' 1997', 'rank': 4},{'vintage': ' 1999', 'rank': 4},{'vintage': '2000', 'rank': 4},{'vintage': '2004', 'rank': 4},{'vintage': '2005', 'rank': 4},{'vintage': '2008', 'rank': 4},{'vintage': '1996', 'rank': 3},{'vintage': '2003', 'rank': 3},{'vintage': '2011', 'rank': 3},{'vintage': '2012', 'rank': 3},{'vintage': '2013', 'rank': 3},{'vintage': '1987', 'rank': 2},{'vintage': ' 1991', 'rank': 2},{'vintage': ' 1993', 'rank': 2},{'vintage': ' 1994', 'rank': 2},{'vintage': '2002', 'rank': 2},{'vintage': '1992', 'rank': 1},",4,Palette,2,2,Provence
