id,name,ingredients,preparation,image,category_id,proportion,time_prep,time_cook,description
787,Aiguillettes de canard aux mirabelles,"[""-  2 magrets de canard"", ""-  150 g de foie gras de canard cru"", ""-  1 bouquet de cerfeuil"", ""-  125 g de crème fraîche"", ""-  25 g de beurre"", ""-  250 g de mirabelles en conserve"", ""-  1 cuil. à soupe de vinaigre de Xérès"", ""-  1 verre de porto"", ""-  1 cuil. à soupe d'huile de tournesol"", ""-  Sel, poivre du moulin""]","[""Dans une sauteuse, faites chauffer l'huile et saisissez les deux magrets, environ 4 ou 5 min de chaque côté. Coupez-les en aiguillettes et gardez-les au chaud."", ""Faites fondre le beurre dans une poêle et mettez-y à revenir 3 min le foie gras cru coupé en morceaux."", ""Ajoutez le vinaigre de Xérès, puis le porto. Écrasez le foie gras à la fourchette ou au mixer 2 min."", ""Ajoutez la crème fraîche, mélangez bien. Versez dans la poêle les mirabelles et assaisonnez de sel et de poivre à votre goût."", ""Faites réchauffer les aiguillettes et les mirabelles dans la crème 3 min à feu doux avant de servir."", ""Servez aussitôt. Vous pouvez décorer votre plat avec quelques brins de cerfeuil.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/05/fbd4f25a25ff68f96a722a037e829c94b4db046f.jpeg,815,4 pers.,00H10,00:20,"Gibier à plumes, à Cuisson assez courte associée à l'onctuosité du foie gras, la crème et le Porto. Grâce au vinaigre, le plat s'équilibre avec caractère. Choisir un vin corsé avec la couleur correspondante au choix et type de Porto. L'accord Porto (par exemple un Tawny 20 ans d'âge) est la solution de facilité."
790,Bœuf bourguignon,"[""-  1,2 kg de bœuf dans le jumeau et la pointe de paleron"", ""-  150 g de poitrine de porc fraîche ou demi"", ""- sel"", ""-  300 g de champignons de Paris"", ""-  250 g de petits oignons grelots pelés"", ""-  4 carottes"", ""-  4 oignons"", ""-  4 gousses d'ail"", ""-  1 bouquet garni"", ""-  75 cl de bourgogne rouge"", ""-  1 tablette de bouillon de bœuf"", ""-  100 g de beurre"", ""-  2 cuil. à soupe d'huile"", ""-  3 cuil. à soupe de farine"", ""-  1 cuil. à soupe de sucre en poudre"", ""-  Sel, poivre du moulin\r\n \r\nRecette extraite du livre Viandes de Jean"", ""- François Mallet""]","[""Coupez la poitrine de porc avec la couenne en petits lardons. Coupez la viande de boeuf en gros dés."", ""Dans une poêle, faites rissoler à feu vif dans 2 cuillerées à soupe d'huile les morceaux de viande de boeuf de tous côtés, jusqu'à ce qu'ils brunissent."", ""Rangez les morceaux de viande au fur et à mesure dans une grande cocotte. Saupoudrez de sucre et faites caraméliser."", ""Ajoutez 50 g de beurre et la farine. Faites roussir la farine jusqu'à ce qu'elle ait la couleur du caramel foncé. Allumez le gril du four."", ""Épluchez les carottes, coupez-les en rondelles. Pelez les oignons et hachez-les. Mettez ces légumes dans la cocotte. Salez, poivrez et glissez la cocotte dans le four. Laissez encore brunir viandes et légumes 10 min sous le gril."", ""Mouillez avec le vin. Pelez, écrasez et ajoutez l'ail, puis la tablette de bouillon, le bouquet garni ainsi que 40 cl d'eau. Portez à ébullition tout en remuant, puis couvrez et laissez mijoter 3 h à feu doux en remuant de temps en temps."", ""Pendant ce temps, faites blondir à feu doux les lardons dans une sauteuse avec 50 g de beurre. Nettoyez les champignons et ajoutez-les avec les oignons grelots dans la sauteuse. Salez, poivrez, couvrez et laissez cuire 15 min tout en remuant fréquemment."", ""Pour servir, disposez le boeuf bourguignon dans un plat de service, entourez-le de la garniture et servez, accompagné de pommes de terre ou de pâtes.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/05/78eb6c615ffe2db31e8ad945eeecb599faf56e6d.jpeg,818,6 pers.,01H00,03:00,"Un bon classique dans les ragoûts, avec une sauce assez corsée par sa réduction. Carottes et oignons apportent de l'onctuosité à ce plat plutôt riche. Privilégiez un vin rouge ample et velouté, aux tanins fins, si possible patinés par un peu de garde. L'accord régional s'impose immédiatement : un"
788,Boulettes de poisson,"[""-  750 g de poisson à chair blanche (daurade, merlan...)"", ""-  100 g de riz"", ""-  1 œuf"", ""-  1 gros oignon"", ""-  5 gousses d'ail"", ""-  1 bouquet de persil"", ""-  1 feuille de laurier"", ""-  1/2 cuil. à café de curcuma"", ""-  1/4 cuil. à café de noix de muscade"", ""-  8 cuil. à soupe d'huile d'olive"", ""-  Sel, poivre du moulin""]","[""Ôtez les arêtes du poisson. Épluchez l'oignon et rincez le persil. Mettez tous ces ingrédients dans le bol d'un robot et mixez-les ensemble."", ""À ce mélange, ajoutez l'oeuf, le riz, la noix muscade, du sel et du poivre. Mélangez bien le tout et formez, avec les doigts, des boulettes de 4 cm de diamètre environ."", ""Dans une marmite, versez l'huile d'olive et 1 verre d'eau (20 cl), ajoutez ensuite le curcuma, l'ail pelé et coupé en rondelles et le laurier. Salez, poivrez et portez à ébullition."", ""Jetez alors les boulettes, une à une, dans la marmite, couvrez et laissez mijoter à feu moyen pendant 15 à 20 min. Disposez-les dans un plat avant de servir.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/05/b570f230ebd73c9cafba4f2ee2ba5c3c7dd15442.jpeg,816,2 pers.,00H25,00:20,"Rustique par la texture des boulettes, ce met est méditerranéen par ses arômes. Le riz, quant à lui, appelle un vin de caractère, blanc en priorité, sec et généreux, ayant lui-aussi des qualités aromatiques suffisantes pour se hisser à hauteur du plat."
823,Veau au citron,"[""-  1,2 kg de noix de veau"", ""-  50 g de lardons maigres"", ""-  3 oignons"", ""-  2 carottes"", ""-  4 échalotes"", ""-  1 petit bouquet de persil plat"", ""-  1 gros citron à peau fine ou 2 petits"", ""-  20 cl de bouillon de pot"", ""- au"", ""- feu fait maison ou préparé avec un cube"", ""-  10 cl de madère"", ""-  25 g de beurre"", ""-  Sel, poivre blanc du moulin""]","[""Pelez les oignons et les échalotes, épluchez les carottes et lavez le citron ; coupez-les en fines rondelles. Lavez, essuyez et hachez le persil. Faites blanchir les lardons 1 min à l'eau bouillante, puis égouttez-les."", ""Enduisez le fond de l'autocuiseur avec le beurre. Déposez par-dessus les oignons, les échalotes et les carottes. Parsemez du persil et des lardons et ajoutez ensuite les rondelles de citron. Posez la noix de veau sur ce lit de légumes et de citron. Salez, poivrez et versez le bouillon et le madère. Fermez l'autocuiseur."", ""Faites chauffez à feu vif jusqu'au début de la mise sous pression de la soupape puis poursuivez la cuisson à feu doux le temps indiqué. Hors du feu, faites tomber la pression."", ""Posez la noix de veau entourée des légumes sur un plat de service chaud. Si la sauce paraît un peu claire, faites-la réduire à feu vif avant d'en napper la viande.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/05/0b6df0c3d959648df5ae19f06cdff4e2e2e9cfe7.jpeg,826,6 pers.,00H25,01:00,Joli morceau que la noix de veau. Sa cuisson sur une garniture aromatique avec un vin de grand caractère offre toujours un excellent résultat.
1171,Pintade rôtie,[],[],"",815,"","","",""
1172,Risotto aux fruits de mer,[],[],"",828,"","","",""
1173,Pizza margherita,"[""- 1 pâte à pizza"", ""- 1 boule de mozzarella"", ""- 1 oignon"", ""- 3 feuilles de basilic"", ""- 5 bonnes cuil. à soupe de sauce tomate"", ""- 1 pincée de sucre"", ""- Origan"", ""- Parmesan râpé\r\nRecette extraite du livre Pizzas, quiches &amp; cakes de Emilie Perrin""]","[""Préchauffez le four à 220 °C (th. 7). Détaillez la mozzarella en morceaux. Pelez et émincez l’oignon. Ciselez le basilic."", ""Étalez la pâte à pizza soit en rectangle, soit en cercle puis disposez-la sur la plaque. Étalez la sauce tomate, parsemez de basilic, de sucre et d’origan."", ""Disposez l’oignon, la mozzarella et saupoudrez de parmesan râpé. Enfournez pour 15 min.""]",https://www.hachette-vins.com/uploads/media/cache/thumb_medium/uploads/media/recettes/0001/08/ebb79034402b68e0e9993144f6d1a6338cb817e7.jpeg,820,4 pers.,00H15,00:15,""
1174,Pigeonneaux rôtis,[],[],"",823,"","","",""
1175,Poularde de Bresse à la crème et aux morilles,[],[],"",815,"","","",""
1176,Soumaintrain,[],[],"",834,"","","",""
1177,Carré d'agneau rôti aux champignons,[],[],"",825,"","","",""
1178,Canard aux cerises,[],[],"",815,"","","",""
1179,Bar (ou loup) grillé,[],[],"",816,"","","",""
1180,Bécasse rôtie,[],[],"",823,"","","",""
1181,Bouchées à la reine,[],[],"",820,"","","",""
